file_name,image_file,timestamp,storage_group,sample_id,day,side,ripening_index,split
T10_d01_002_a_1,T10_d01_002_a_1.jpg,2022-04-04 11:00:36,T10,2,1,a,1,val
T10_d01_002_b_1,T10_d01_002_b_1.jpg,2022-04-04 11:00:50,T10,2,1,b,1,val
T10_d02_002_a_1,T10_d02_002_a_1.jpg,2022-04-05 12:10:10,T10,2,2,a,1,val
T10_d02_002_b_1,T10_d02_002_b_1.jpg,2022-04-05 12:10:41,T10,2,2,b,1,val
T10_d03_002_a_1,T10_d03_002_a_1.jpg,2022-04-06 12:10:05,T10,2,3,a,1,val
T10_d03_002_b_1,T10_d03_002_b_1.jpg,2022-04-06 12:10:16,T10,2,3,b,1,val
T10_d04_002_a_1,T10_d04_002_a_1.jpg,2022-04-07 11:39:56,T10,2,4,a,1,val
T10_d04_002_b_1,T10_d04_002_b_1.jpg,2022-04-07 11:40:24,T10,2,4,b,1,val
T10_d05_002_a_1,T10_d05_002_a_1.jpg,2022-04-08 12:29:52,T10,2,5,a,1,val
T10_d05_002_b_1,T10_d05_002_b_1.jpg,2022-04-08 12:29:59,T10,2,5,b,1,val
T10_d06_002_a_1,T10_d06_002_a_1.jpg,2022-04-09 12:41:36,T10,2,6,a,1,val
T10_d06_002_b_1,T10_d06_002_b_1.jpg,2022-04-09 12:41:42,T10,2,6,b,1,val
T10_d07_002_a_1,T10_d07_002_a_1.jpg,2022-04-10 12:09:07,T10,2,7,a,1,val
T10_d07_002_b_1,T10_d07_002_b_1.jpg,2022-04-10 12:09:13,T10,2,7,b,1,val
T10_d08_002_a_2,T10_d08_002_a_2.jpg,2022-04-11 12:11:59,T10,2,8,a,2,val
T10_d08_002_b_2,T10_d08_002_b_2.jpg,2022-04-11 12:12:06,T10,2,8,b,2,val
T10_d09_002_a_2,T10_d09_002_a_2.jpg,2022-04-12 12:41:30,T10,2,9,a,2,val
T10_d09_002_b_2,T10_d09_002_b_2.jpg,2022-04-12 12:41:37,T10,2,9,b,2,val
T10_d10_002_a_2,T10_d10_002_a_2.jpg,2022-04-13 12:09:48,T10,2,10,a,2,val
T10_d10_002_b_2,T10_d10_002_b_2.jpg,2022-04-13 12:09:56,T10,2,10,b,2,val
T10_d11_002_a_3,T10_d11_002_a_3.jpg,2022-04-14 13:05:24,T10,2,11,a,3,val
T10_d11_002_b_3,T10_d11_002_b_3.jpg,2022-04-14 13:05:32,T10,2,11,b,3,val
T10_d12_002_a_3,T10_d12_002_a_3.jpg,2022-04-15 17:00:49,T10,2,12,a,3,val
T10_d12_002_b_3,T10_d12_002_b_3.jpg,2022-04-15 17:00:54,T10,2,12,b,3,val
T10_d13_002_a_3,T10_d13_002_a_3.jpg,2022-04-16 13:50:20,T10,2,13,a,3,val
T10_d13_002_b_3,T10_d13_002_b_3.jpg,2022-04-16 13:50:25,T10,2,13,b,3,val
T10_d14_002_a_4,T10_d14_002_a_4.jpg,2022-04-17 15:53:50,T10,2,14,a,4,val
T10_d14_002_b_4,T10_d14_002_b_4.jpg,2022-04-17 15:53:55,T10,2,14,b,4,val
T10_d15_002_a_4,T10_d15_002_a_4.jpg,2022-04-18 16:00:49,T10,2,15,a,4,val
T10_d15_002_b_4,T10_d15_002_b_4.jpg,2022-04-18 16:00:54,T10,2,15,b,4,val
T10_d16_002_a_4,T10_d16_002_a_4.jpg,2022-04-19 13:26:27,T10,2,16,a,4,val
T10_d16_002_b_4,T10_d16_002_b_4.jpg,2022-04-19 13:26:32,T10,2,16,b,4,val
T10_d17_002_a_4,T10_d17_002_a_4.jpg,2022-04-20 13:07:03,T10,2,17,a,4,val
T10_d17_002_b_4,T10_d17_002_b_4.jpg,2022-04-20 13:07:09,T10,2,17,b,4,val
T10_d18_002_a_4,T10_d18_002_a_4.jpg,2022-04-21 14:18:30,T10,2,18,a,4,val
T10_d18_002_b_4,T10_d18_002_b_4.jpg,2022-04-21 14:18:35,T10,2,18,b,4,val
T10_d19_002_a_5,T10_d19_002_a_5.jpg,2022-04-22 13:35:44,T10,2,19,a,5,val
T10_d19_002_b_5,T10_d19_002_b_5.jpg,2022-04-22 13:35:49,T10,2,19,b,5,val
T10_d20_002_a_5,T10_d20_002_a_5.jpg,2022-04-23 13:17:23,T10,2,20,a,5,val
T10_d20_002_b_5,T10_d20_002_b_5.jpg,2022-04-23 13:17:41,T10,2,20,b,5,val
T10_d21_002_a_5,T10_d21_002_a_5.jpg,2022-04-24 15:17:09,T10,2,21,a,5,val
T10_d21_002_b_5,T10_d21_002_b_5.jpg,2022-04-24 15:17:15,T10,2,21,b,5,val
T10_d22_002_a_5,T10_d22_002_a_5.jpg,2022-04-25 15:21:01,T10,2,22,a,5,val
